m_100662_,getNbtTag,2,
m_100675_,getHiddenPlayers,0,
m_100676_,addPlayer,0,
m_100678_,getDiscoveredUUID,0,
m_100680_,hidePlayer,0,
m_100682_,showPlayer,0,
m_100684_,shouldHideMessageFrom,0,
m_100686_,isHidden,0,
m_100688_,isBlocked,0,
m_100690_,removePlayer,0,
m_100714_,addPlayer,0,
m_100717_,setFilter,0,
m_100722_,removePlayer,0,
m_100724_,isEmpty,0,
m_100725_,updateFilteredPlayers,0,
m_100767_,updateServerLabel,0,
m_100771_,showPage,0,
m_100775_,onAddPlayer,0,
m_100779_,onRemovePlayer,0,
m_100784_,lambda$init$2,0,
m_100788_,checkSearchStringUpdate,0,
m_100790_,lambda$init$1,0,
m_100795_,lambda$init$0,0,
m_100799_,windowHeight,0,
m_100801_,listEnd,0,
m_100802_,marginX,0,
m_100906_,createTempDataPackDirFromExistingWorld,0,
m_100912_,copyBetweenDirs,0,
m_10092_,handlePingRequest,2,
m_100967_,popScreen,0,
m_100968_,getTempDataPackDir,0,
m_100972_,onCreate,0,
m_100976_,removeTempDataPackDir,0,
m_101058_,lambda$init$0,0,
m_101060_,markInvalid,0,
m_101062_,access$000,0,
m_101074_,clearInvalid,0,
m_101076_,access$100,0,
m_101083_,access$200,0,
m_101085_,access$300,0,
m_101088_,access$400,0,
m_101090_,access$500,0,
m_101094_,updateDoneButton,0,
m_101154_,create,0,
m_101179_,lambda$new$0,0,
m_101209_,lambda$new$1,0,
m_101222_,lambda$addEntry$2,0,
m_101224_,addEntry,0,
m_101227_,lambda$visitBoolean$0,0,
m_101232_,lambda$visitInteger$1,0,
m_101258_,makeBackupAndShowToast,0,
m_10127_,processRequestResponse,2,
m_101295_,onRename,0,
m_101315_,create,0,
m_101321_,lambda$init$1,0,
m_10134_,createContext,2,
m_10136_,requestMessageProcessing,2,
m_101375_,lambda$init$5,0,
m_101377_,lambda$init$4,0,
m_10145_,drainStream,2,
m_10147_,lambda$static$0,2,
m_10151_,processRequest,2,
m_10156_,makeRequest,2,
m_10165_,lambda$static$1,2,
m_101684_,getSelectedOpt,0,
m_101685_,getScreen,0,
m_10168_,lambda$static$0,2,
m_101704_,joinWorld,0,
m_10171_,shouldIgnore,2,
m_101738_,deleteWorld,0,
m_101739_,editWorld,0,
m_101743_,recreateWorld,0,
m_101745_,queueLoadScreen,0,
m_101746_,loadIcon,0,
m_101786_,getItems,0,
m_101787_,getItem,0,
m_101794_,selectCategory,0,
m_101796_,getSelectedItem,0,
m_101797_,selectSlot,0,
m_101799_,getSelectedCategory,0,
m_101800_,exit,0,
m_101801_,getSelectedSlot,0,
m_101802_,getCurrentPage,0,
m_101851_,getItem,0,
m_101853_,getSelectedSlot,0,
m_10194_,lambda$processMessageBundle$0,2,
m_101957_,objective,2,
m_101960_,getObjective,2,
m_101965_,getWritableObjective,2,
m_102082_,bobArms,0,
m_102086_,animateCrossbowCharge,0,
m_102091_,swingWeaponDown,0,
m_102097_,animateCrossbowHold,0,
m_102102_,animateZombieArms,0,
m_10214_,getMetadataFromStream,2,
m_102282_,waterPatch,0,
m_102292_,setupAnim,0,
m_102316_,render,0,
m_102419_,setColor,0,
m_102450_,getHead,0,
m_102555_,criteria,2,
m_102556_,getName,2,
m_102565_,getCriteria,2,
m_102624_,copyPropertiesTo,0,
m_102708_,setupSpikes,0,
m_102833_,quadraticArmUpdate,0,
m_102835_,rotlerpRad,0,
m_102851_,getArm,0,
m_102856_,getAttackArm,0,
m_102872_,copyPropertiesTo,0,
m_102875_,poseRightArm,0,
m_102878_,poseLeftArm,0,
m_102897_,isTwoHanded,0,
m_102922_,getArm,0,
m_102934_,getHat,0,
m_102968_,getFlowerHoldingArm,0,
m_10305_,getDirectory,2,
m_103119_,renderType,0,
m_103125_,rotlerpRad,0,
m_103209_,getState,0,
m_103223_,renderOnShoulder,0,
m_103239_,prepare,0,
m_103241_,setupAnim,0,
m_103269_,operation,2,
m_103270_,lambda$getSimpleOperation$5,2,
m_103275_,getOperation,2,
m_103281_,getOperation,2,
m_103286_,getSimpleOperation,2,
m_103288_,lambda$getSimpleOperation$3,2,
m_103291_,lambda$getSimpleOperation$2,2,
m_103297_,lambda$getSimpleOperation$1,2,
m_103308_,apply,2,
m_103360_,holdWeaponHigh,0,
m_103401_,renderEars,0,
m_103411_,renderCloak,0,
m_103701_,plate,0,
m_103711_,handle,0,
m_103742_,getLid,0,
m_103743_,getHead,0,
m_103851_,getHead,0,
m_103934_,readParticle,2,
m_103937_,getParticle,2,
m_104073_,getNose,0,
m_104074_,setHoldingItem,0,
m_104227_,setPos,0,
m_104290_,compile,0,
m_104299_,translateAndRotate,0,
m_10429_,getTitle,2,
m_104301_,render,0,
m_104306_,render,0,
m_104315_,copyFrom,0,
m_10437_,getChatLink,2,
m_104384_,remap,0,
m_104397_,setListener,0,
m_104399_,update,0,
m_104401_,setSelectedTab,0,
m_104416_,updateViewRadius,0,
m_10442_,getDescription,2,
m_104438_,isValidChunk,0,
m_10443_,getCompatibility,2,
m_104448_,calculateStorageRange,0,
m_104455_,drop,0,
m_104459_,updateViewCenter,0,
m_10445_,open,2,
m_10446_,getId,2,
m_104479_,getChunk,0,
m_104481_,getIndex,0,
m_104484_,replace,0,
m_104487_,replace,0,
m_10449_,isRequired,2,
m_104500_,inRange,0,
m_10450_,isFixedPosition,2,
m_10451_,getDefaultPosition,2,
m_104531_,authenticateServer,0,
m_10453_,getPackSource,2,
m_104554_,getMinecraftSessionService,0,
m_104583_,effects,0,
m_104592_,spawnFluidParticle,0,
m_104637_,setGameTime,0,
m_104639_,tickNonPassenger,0,
m_104641_,tickPassenger,0,
m_104665_,unload,0,
m_104689_,trySpawnDripParticles,0,
m_104694_,spawnParticle,0,
m_10469_,opposite,2,
m_10470_,insert,2,
m_104726_,tick,0,
m_104735_,entitiesForRendering,0,
m_104739_,addEntity,0,
m_104746_,setDayTime,0,
m_104752_,setDefaultSpawnPos,0,
m_104762_,calculateBlockTint,0,
m_104784_,animateTick,0,
m_104793_,setSectionDirtyWithNeighbors,0,
m_104804_,tickEntities,0,
m_104805_,getSkyDarken,0,
m_104808_,getCloudColor,0,
m_104810_,clearTintCaches,0,
m_104811_,getStarBrightness,0,
m_104813_,getEntityCount,0,
m_104819_,getSkyFlashTime,0,
m_104826_,tickTime,0,
m_104849_,setGameTime,0,
m_104851_,setDifficulty,0,
m_104858_,setDifficultyLocked,0,
m_104863_,setDayTime,0,
m_10489_,isCompatible,2,
m_104910_,getConnection,0,
m_104927_,findTotem,0,
m_10492_,getDescription,2,
m_104938_,getPlayerInfo,0,
m_10493_,getConfirmation,2,
m_104949_,getPlayerInfo,0,
m_105003_,handleCustomPayload,0,
m_10506_,reload,2,
m_10507_,getPack,2,
m_10509_,setSelected,2,
m_105133_,handleUpdateTags,2,
m_105137_,getSuggestionsProvider,0,
m_105141_,getRecipeManager,0,
m_105142_,getOnlinePlayers,0,
m_105143_,getOnlinePlayerIds,0,
m_105144_,getLocalGameProfile,0,
m_105145_,getAdvancements,0,
m_105146_,getCommands,0,
m_105147_,getLevel,0,
m_105149_,getDebugQueryHandler,0,
m_10514_,getAvailableIds,2,
m_105150_,getId,0,
m_105151_,levels,0,
m_105152_,registryAccess,0,
m_10515_,isAvailable,2,
m_105167_,prettyPrint,0,
m_105169_,prettyPrint,0,
m_105171_,completeCustomSuggestions,0,
m_10517_,rebuildSelected,2,
m_10519_,getAvailablePacks,2,
m_105205_,canHurtPlayer,0,
m_105206_,handlePickItem,0,
m_105208_,handleInventoryButtonClick,0,
m_10520_,getAvailablePacks,2,
m_105217_,handlePlaceRecipe,0,
m_105221_,adjustPlayer,0,
m_105223_,attack,0,
m_105226_,interact,0,
m_105230_,interactAt,0,
m_105239_,handleCreativeModeItemDrop,0,
m_10523_,getSelectedIds,2,
m_105241_,handleCreativeModeItemAdd,0,
m_105246_,createPlayer,0,
m_10524_,getSelectedPacks,2,
m_105250_,createPlayer,0,
m_10525_,openAllSelected,2,
m_105267_,destroyBlock,0,
m_105269_,startDestroyBlock,0,
m_10526_,discoverAvailable,2,
m_105276_,stopDestroyBlock,0,
m_105277_,releaseUsingItem,0,
m_105279_,setLocalMode,0,
m_105281_,sameDestroyTarget,0,
m_105283_,continueDestroyBlock,0,
m_105287_,tick,0,
m_105288_,hasExperience,0,
m_105289_,hasMissTime,0,
m_105290_,hasInfiniteItems,0,
m_105292_,isServerControlledInventory,0,
m_105293_,isAlwaysFlying,0,
m_105294_,getPreviousPlayerMode,0,
m_105295_,getPlayerMode,0,
m_105296_,isDestroying,0,
m_105297_,ensureHasSentCarriedItem,0,
m_105312_,getProfile,0,
m_105313_,setLatency,0,
m_105317_,setGameMode,0,
m_105323_,setTabListDisplayName,0,
m_105325_,getGameMode,0,
m_105330_,getLatency,0,
m_10533_,decorateWithSource,2,
m_105340_,getTeam,0,
m_105342_,getTabListDisplayName,0,
m_105378_,write,0,
m_105379_,setResourcePackStatus,0,
m_10537_,lambda$decorateWithSource$0,2,
m_105381_,copyFrom,0,
m_105385_,read,0,
m_105387_,getResourcePackStatus,0,
m_105389_,isLan,0,
m_105400_,getName,0,
m_105404_,intRange,2,
m_105405_,floatRange,2,
m_10540_,decorate,2,
m_105419_,getRange,2,
m_105431_,load,0,
m_105432_,get,0,
m_105434_,swap,0,
m_105437_,replace,0,
m_105440_,remove,0,
m_105442_,save,0,
m_105445_,size,0,
m_105446_,saveSingleServer,0,
m_105453_,tick,0,
m_105459_,pingServer,0,
m_105465_,removeAll,0,
m_105466_,formatPlayerCount,0,
m_105486_,handlePongResponse,2,
m_10595_,register,2,
m_10624_,getMetadataLocation,2,
m_10666_,lambda$new$7,2,
m_106727_,setTrail,0,
m_106767_,createParticle,0,
m_106778_,createParticleBall,0,
m_106785_,createParticleShape,0,
m_106793_,createParticleBurst,0,
m_106798_,isFarAwayFromCamera,0,
m_106984_,id,2,
m_106987_,getAdvancement,2,
m_106994_,getRecipe,2,
m_107011_,getId,2,
m_107036_,getSafeCopy,0,
m_107250_,setSize,0,
m_107253_,setColor,0,
m_107257_,setLifetime,0,
m_107259_,setBoundingBox,0,
m_107264_,setPos,0,
m_107268_,setPower,0,
m_107271_,setAlpha,0,
m_107273_,getLifetime,0,
m_107274_,remove,0,
m_107275_,setLocationFromBoundingbox,0,
m_107276_,isAlive,0,
m_107277_,getBoundingBox,0,
m_107282_,getTextures,0,
m_107283_,lambda$fromJson$0,0,
m_107285_,fromJson,0,
m_107301_,close,0,
m_107329_,createTrackingEmitter,0,
m_107332_,createTrackingEmitter,0,
m_107336_,render,0,
m_107342_,setLevel,0,
m_107344_,add,0,
m_107346_,lambda$tick$11,0,
m_107355_,destroy,0,
m_107367_,crack,0,
m_107370_,createParticle,0,
m_107378_,register,0,
m_107381_,register,0,
m_107384_,tickParticleList,0,
m_107388_,tick,0,
m_107393_,tickParticle,0,
m_107395_,makeParticle,0,
m_107403_,countParticles,0,
m_107404_,registerProviders,0,
m_107415_,rebind,0,
m_107419_,create,0,
m_10759_,lambda$reload$0,2,
m_107657_,setColor,0,
m_107659_,setFadeColor,0,
m_10786_,lambda$reload$0,2,
m_10789_,lambda$reload$1,2,
m_10815_,of,2,
m_108217_,scoreHolder,2,
m_108220_,lambda$static$1,2,
m_108223_,getName,2,
m_108226_,getNames,2,
m_108230_,lambda$parse$2,2,
m_108235_,lambda$parse$3,2,
m_108239_,scoreHolders,2,
m_108243_,getNames,2,
m_108246_,getNamesWithDefaultWildcard,2,
m_10827_,lambda$of$0,2,
m_108335_,pickSprite,0,
m_108337_,setSprite,0,
m_108339_,setSpriteFromAge,0,
m_10834_,lambda$new$4,2,
m_10840_,lambda$new$2,2,
m_108558_,getPlayerInfo,0,
m_10855_,lambda$wait$0,2,
m_108565_,getFieldOfViewModifier,0,
m_108575_,getMoveVector,0,
m_108577_,hasForwardImpulse,0,
m_10859_,lambda$wait$1,2,
m_108628_,sendOpenInventory,0,
m_108630_,getStats,0,
m_108631_,getRecipeBook,0,
m_108632_,shouldShowDeathScreen,0,
m_108634_,getJumpRidingScale,0,
m_108635_,isMovingSlowly,0,
m_108636_,isControlledCamera,0,
m_108637_,isHandsBusy,0,
m_108638_,isAutoJumpEnabled,0,
m_108639_,getWaterVision,0,
m_10863_,create,2,
m_108640_,sendPosition,0,
m_108644_,setExperienceValues,0,
m_108648_,setPermissionLevel,0,
m_108675_,removeRecipeHighlight,0,
m_108700_,drop,0,
m_108704_,moveTowardsClosestSpace,0,
m_108711_,setShowDeathScreen,0,
m_108731_,canAutoJump,0,
m_108732_,isMoving,0,
m_108733_,hasEnoughImpulseToStartSprinting,0,
m_108743_,updateAutoJump,0,
m_108746_,suffocatesAt,0,
m_108760_,hurtTo,0,
m_108762_,getCurrentMood,0,
m_108763_,clientSideCloseContainer,0,
m_108765_,sendRidingJump,0,
m_108788_,isEmpty,0,
m_108793_,getAverageGrassColor,0,
m_108796_,getAverageColor,0,
m_108800_,lambda$static$1,0,
m_108804_,getAverageFoliageColor,0,
m_108807_,lambda$static$0,0,
m_108811_,getAverageWaterColor,0,
m_108829_,renderByItem,0,
m_108849_,render,0,
m_108854_,preload,0,
m_108871_,getCloudHeight,0,
m_108876_,forType,0,
m_108880_,lambda$static$0,0,
m_108882_,hasGround,0,
m_108883_,skyType,0,
m_108884_,forceBrightLightmap,0,
m_108885_,constantAmbientLight,0,
m_108943_,getId,0,
m_108948_,parseSamplerNode,0,
m_108950_,parseBlendNode,0,
m_108952_,getUniform,0,
m_108954_,setSampler,0,
m_108957_,markDirty,0,
m_108958_,parseUniformNode,0,
m_108960_,safeGetUniform,0,
m_108962_,getVertexProgram,0,
m_108964_,getFragmentProgram,0,
m_108965_,clear,0,
m_108966_,apply,0,
m_108967_,updateLocations,0,
m_108982_,getVertexInfo,0,
m_108984_,fromFacing,0,
m_108986_,lambda$static$0,0,
m_109017_,setupNoFog,0,
m_109018_,setupColor,0,
m_109029_,lambda$setupColor$0,0,
m_109036_,levelFogColor,0,
m_109086_,shutdownEffect,0,
m_109087_,pick,0,
m_109089_,renderLevel,0,
m_109093_,render,0,
m_109097_,resize,0,
m_109100_,renderItemActivationAnimation,0,
m_109106_,checkEntityPostEffect,0,
m_109108_,getNightVisionScale,0,
m_109113_,displayItemActivation,0,
m_109117_,bobHurt,0,
m_109120_,renderItemInHand,0,
m_109128_,loadEffect,0,
m_109130_,togglePostEffect,0,
m_109131_,getDarkenWorldAmount,0,
m_109138_,bobView,0,
m_109141_,getFov,0,
m_109148_,tick,0,
m_109149_,currentEffect,0,
m_109150_,resetData,0,
m_109151_,getMapRenderer,0,
m_109152_,getRenderDistance,0,
m_109153_,getMainCamera,0,
m_109154_,lightTexture,0,
m_109155_,overlayTexture,0,
m_109156_,tickFov,0,
m_109158_,shouldRenderBlockOutline,0,
m_109180_,permutation,2,
m_109182_,compose,2,
m_109187_,lambda$static$1,2,
m_109196_,displaySlot,2,
m_109199_,getDisplaySlot,2,
m_109218_,hasWarnings,0,
m_109222_,compilePatterns,0,
m_109233_,lambda$getAllWarnings$0,0,
m_109237_,lambda$compilePatterns$1,0,
m_109240_,willShowWarning,0,
m_109244_,parseJson,0,
m_109247_,showWarning,0,
m_109248_,dismissWarning,0,
m_109249_,dismissWarningAndSkipFabulous,0,
m_109250_,isShowingWarning,0,
m_109251_,isSkippingFabulous,0,
m_109252_,resetWarnings,0,
m_109253_,getRendererWarnings,0,
m_109254_,getVersionWarnings,0,
m_109255_,getVendorWarnings,0,
m_109256_,getAllWarnings,0,
m_109269_,apply,0,
m_109272_,matchAny,0,
m_109279_,getRenderType,0,
m_109282_,getChunkRenderType,0,
m_109284_,getRenderType,0,
m_109287_,getRenderLayer,0,
m_109289_,lambda$static$1,0,
m_109291_,setFancy,0,
m_109293_,getMovingBlockRenderType,0,
m_109311_,tick,0,
m_109312_,calculateMapTilt,0,
m_109314_,renderHandsWithItems,0,
m_109320_,itemUsed,0,
m_109330_,applyEatTransform,0,
m_109335_,applyItemArmAttackTransform,0,
m_109339_,renderTwoHandedMap,0,
m_109346_,renderPlayerArm,0,
m_109353_,renderOneHandedMap,0,
m_109361_,renderMapHand,0,
m_109366_,renderMap,0,
m_109371_,renderArmWithItem,0,
m_109382_,applyItemArmTransform,0,
m_109393_,getModelManager,0,
m_109394_,getItemModel,0,
m_109396_,register,0,
m_109403_,rebuildCache,0,
m_109404_,getIndex,0,
m_109406_,getItemModel,0,
m_109482_,initOutline,0,
m_109487_,resize,0,
m_109490_,setSectionDirtyWithNeighbors,0,
m_109494_,setBlocksDirty,0,
m_109501_,setSectionDirty,0,
m_109506_,globalLevelEvent,0,
m_109517_,renderEntity,0,
m_109537_,getLightColor,0,
m_109541_,getLightColor,0,
m_109544_,blockChanged,0,
m_109550_,notifyNearbyEntities,0,
m_109588_,checkPoseStack,0,
m_109599_,renderLevel,0,
m_109608_,renderLineBox,0,
m_10960_,getSource,2,
m_10961_,getExpires,2,
m_109621_,renderLineBox,0,
m_10962_,getReason,2,
m_109637_,renderHitOutline,0,
m_109646_,renderLineBox,0,
m_109693_,tickRain,0,
m_109701_,setLevel,0,
m_109703_,renderSnowAndRain,0,
m_109721_,setBlockDirty,0,
m_109732_,setBlockDirty,0,
m_109735_,addParticle,0,
m_109743_,addParticle,0,
m_109752_,addParticle,0,
m_109762_,updateGlobalBlockEntities,0,
m_109765_,removeProgress,0,
m_109767_,calculateParticleLevel,0,
m_109769_,doEntityOutline,0,
m_10976_,load,2,
m_109770_,setSectionDirty,0,
m_109774_,destroyBlockProgress,0,
m_10977_,getTopMRUProfiles,2,
m_109780_,renderEndSky,0,
m_109782_,renderShape,0,
m_109795_,addParticleInternal,0,
m_10979_,safeAdd,2,
m_109804_,addParticleInternal,0,
m_109817_,shouldShowEntityOutlines,0,
m_109818_,allChanged,0,
m_10981_,writeGameProfile,2,
m_109820_,getSectionStatistics,0,
m_109822_,getEntityStatistics,0,
m_109823_,tick,0,
m_109824_,clear,0,
m_109826_,needsUpdate,0,
m_109827_,entityTarget,0,
m_109828_,getTranslucentTarget,0,
m_109829_,getItemEntityTarget,0,
m_109830_,getParticlesTarget,0,
m_109831_,getWeatherTarget,0,
m_109832_,getCloudsTarget,0,
m_109833_,initTransparency,0,
m_109834_,deinitTransparency,0,
m_109835_,createDarkSky,0,
m_109836_,createLightSky,0,
m_109837_,createStars,0,
m_109880_,tick,0,
m_109881_,updateLightTexture,0,
m_109883_,block,0,
m_109885_,pack,0,
m_10988_,readGameProfile,2,
m_109891_,turnOffLightLayer,0,
m_109892_,notGamma,0,
m_109894_,sky,0,
m_109896_,turnOnLightLayer,0,
m_109898_,immediate,0,
m_109900_,immediateWithBuffers,0,
m_109911_,endBatch,0,
m_109912_,endBatch,0,
m_10991_,add,2,
m_109928_,endOutlineBatch,0,
m_109929_,setColor,0,
m_10993_,lookupGameProfile,2,
m_10996_,get,2,
m_110003_,render,0,
m_110022_,getName,0,
m_110023_,process,0,
m_110025_,resize,0,
m_110028_,parseTargetNode,0,
m_11002_,get,2,
m_110030_,parsePassNode,0,
m_110033_,load,0,
m_110036_,getTempTarget,0,
m_110038_,addTempTarget,0,
m_110042_,addPass,0,
m_110046_,updateOrthoMatrix,0,
m_110047_,parseUniformNode,0,
m_110049_,getRenderTarget,0,
m_11004_,setUsesAuthentication,2,
m_110065_,process,0,
m_110069_,addAuxAsset,0,
m_11006_,save,2,
m_110074_,getEffect,0,
m_11007_,usesAuthentication,2,
m_110085_,getX,0,
m_110086_,getY,0,
m_110087_,contains,0,
m_11008_,getNextOperation,2,
m_110090_,getWidth,0,
m_110091_,getHeight,0,
m_110098_,fixedBufferPack,0,
m_11009_,createDateFormat,2,
m_110101_,put,0,
m_110104_,bufferSource,0,
m_110108_,crumblingBufferSource,0,
m_110109_,outlineBufferSource,0,
m_110164_,lambda$static$20,0,
m_110165_,lambda$static$19,0,
m_110166_,lambda$static$18,0,
m_110167_,lambda$static$17,0,
m_110168_,lambda$static$16,0,
m_110169_,lambda$static$15,0,
m_110170_,lambda$static$14,0,
m_110171_,lambda$static$13,0,
m_110172_,lambda$static$12,0,
m_110173_,lambda$static$11,0,
m_110174_,lambda$static$10,0,
m_110175_,lambda$static$9,0,
m_110176_,lambda$static$8,0,
m_110177_,lambda$static$7,0,
m_110178_,lambda$static$6,0,
m_110179_,lambda$static$5,0,
m_110180_,lambda$static$4,0,
m_110181_,lambda$static$3,0,
m_110182_,lambda$static$2,0,
m_110183_,lambda$static$1,0,
m_110184_,lambda$static$0,0,
m_110185_,setupRenderState,0,
m_110186_,setupGlintTexturing,0,
m_110188_,clearRenderState,0,
m_110199_,lambda$static$37,0,
m_110200_,lambda$static$36,0,
m_110201_,lambda$static$35,0,
m_110202_,lambda$static$34,0,
m_110203_,lambda$static$33,0,
m_110204_,lambda$static$32,0,
m_110205_,lambda$static$31,0,
m_110206_,lambda$static$30,0,
m_110207_,lambda$static$29,0,
m_110208_,lambda$static$28,0,
m_110209_,lambda$static$27,0,
m_110211_,lambda$static$26,0,
m_110212_,lambda$static$25,0,
m_110213_,lambda$static$24,0,
m_110216_,lambda$static$21,0,
m_110239_,lambda$new$1,0,
m_110241_,lambda$new$0,0,
m_110248_,lambda$new$1,0,
m_110250_,lambda$new$0,0,
m_110272_,lambda$new$1,0,
m_110274_,lambda$new$0,0,
m_110279_,lambda$new$1,0,
m_110281_,lambda$new$0,0,
m_11028_,getProfile,2,
m_110295_,lambda$new$1,0,
m_11029_,setLastAccess,2,
m_110305_,lambda$new$1,0,
m_110307_,lambda$new$0,0,
m_11033_,getExpirationDate,2,
m_110345_,lambda$new$1,0,
m_11034_,getLastAccess,2,
m_110361_,lambda$new$1,0,
m_110364_,lambda$new$0,0,
m_11039_,isBanned,2,
m_110405_,affectsCrumbling,0,
m_110408_,translucentMovingBlockState,0,
m_110409_,tripwireState,0,
m_11041_,isBanned,2,
m_110431_,armorCutoutNoCull,0,
m_110436_,energySwirl,0,
m_11043_,get,2,
m_110443_,entityCutoutNoCull,0,
m_110446_,entitySolid,0,
m_110448_,entityCutoutNoCullZOffset,0,
m_110451_,solid,0,
m_110452_,entityCutout,0,
m_110454_,entityTranslucent,0,
m_110457_,cutoutMipped,0,
m_110458_,entityCutoutNoCull,0,
m_11045_,getIpFromAddress,2,
m_110460_,beaconBeam,0,
m_110463_,cutout,0,
m_110464_,entityCutoutNoCullZOffset,0,
m_110466_,translucent,0,
m_110467_,itemEntityTranslucentCull,0,
m_110469_,translucentMovingBlock,0,
m_110470_,entityTranslucentCull,0,
m_110473_,entityTranslucent,0,
m_110475_,leash,0,
m_110476_,entitySmoothCutout,0,
m_110478_,waterMask,0,
m_110479_,entityDecal,0,
m_110482_,entityNoOutline,0,
m_110484_,armorEntityGlint,0,
m_110485_,entityShadow,0,
m_110487_,glintTranslucent,0,
m_110488_,eyes,0,
m_110490_,glint,0,
m_110491_,outline,0,
m_110494_,crumbling,0,
m_110496_,entityGlint,0,
m_110497_,text,0,
m_110499_,entityGlintDirect,0,
m_110500_,textSeeThrough,0,
m_110502_,lightning,0,
m_110503_,tripwire,0,
m_110504_,lines,0,
m_110506_,chunkBufferLayers,0,
m_110507_,bufferSize,0,
m_110508_,format,0,
m_110526_,lambda$new$1,0,
m_11059_,createIpInfo,2,
m_110628_,builder,0,
m_110661_,setCullState,0,
m_110663_,setDepthTestState,0,
m_110669_,setLayeringState,0,
m_110671_,setLightmapState,0,
m_110673_,setLineState,0,
m_110675_,setOutputState,0,
m_110677_,setOverlayState,0,
m_110683_,setTexturingState,0,
m_110685_,setTransparencyState,0,
m_110687_,setWriteMaskState,0,
m_110689_,createCompositeState,0,
m_110691_,createCompositeState,0,
m_11069_,lambda$lookupPlayers$1,2,
m_110712_,registerValueAndGetMean,0,
m_110716_,getViewBlockingState,0,
m_110718_,renderScreenEffect,0,
m_110725_,renderWater,0,
m_110728_,renderFire,0,
m_11073_,readOldListFormat,2,
m_110762_,bannerSheet,0,
m_110763_,lambda$static$3,0,
m_110767_,chooseMaterial,0,
m_11076_,lambda$lookupPlayers$0,2,
m_110771_,chooseMaterial,0,
m_110778_,chestMaterial,0,
m_110782_,shieldSheet,0,
m_110785_,bedSheet,0,
m_110786_,shulkerBoxSheet,0,
m_110787_,signSheet,0,
m_110788_,chestSheet,0,
m_110789_,solidBlockSheet,0,
m_110790_,cutoutBlockSheet,0,
m_110791_,translucentItemSheet,0,
m_110792_,translucentCullBlockSheet,0,
m_11081_,convertUserBanlist,2,
m_11083_,convertMobOwnerIfNecessary,2,
m_110849_,releaseAllBuffers,0,
m_110850_,repositionCamera,0,
m_110853_,setViewDistance,0,
m_110859_,setDirty,0,
m_11086_,lookupPlayers,2,
m_110872_,newWindow,0,
m_110881_,getModelManager,0,
